location_id,zone,borough,lat,lon
144,Little Italy/NoLiTa,Manhattan,40.72097,-73.996675
145,Long Island City/Hunters Point,Queens,40.742516,-73.954881
146,Long Island City/Queens Plaza,Queens,40.75312,-73.935791
147,Longwood,Bronx,40.819743,-73.898566
148,Lower East Side,Manhattan,40.718267,-73.991218
149,Madison,Brooklyn,40.605565,-73.946444
150,Manhattan Beach,Brooklyn,40.581247,-73.94123
151,Manhattan Valley,Manhattan,40.799377,-73.97101
152,Manhattanville,Manhattan,40.81964,-73.956132
153,Marble Hill,Manhattan,40.874569,-73.911817
154,Marine Park/Floyd Bennett Field,Brooklyn,40.594565,-73.914743
155,Marine Park/Mill Basin,Brooklyn,40.613249,-73.901998
156,Mariners Harbor,Staten Island,40.640789,-74.173924
157,Maspeth,Queens,40.723504,-73.903918
158,Meatpacking/West Village West,Manhattan,40.736896,-74.010486
159,Melrose South,Bronx,40.819891,-73.913451
160,Middle Village,Queens,40.719346,-73.882976
161,Midtown Center,Manhattan,40.757753,-73.97735
162,Midtown East,Manhattan,40.756517,-73.972625
163,Midtown North,Manhattan,40.765561,-73.978757
164,Midtown South,Manhattan,40.748532,-73.984748
165,Midwood,Brooklyn,40.621716,-73.958221
166,Morningside Heights,Manhattan,40.810671,-73.963613
167,Morrisania/Melrose,Bronx,40.825669,-73.905021
168,Mott Haven/Port Morris,Bronx,40.80426,-73.91207
169,Mount Hope,Bronx,40.848149,-73.906359
170,Murray Hill,Manhattan,40.747473,-73.978303
171,Murray Hill-Queens,Queens,40.768051,-73.807583
172,New Dorp/Midland Beach,Staten Island,40.568898,-74.104626
173,North Corona,Queens,40.75418,-73.861459
174,Norwood,Bronx,40.878665,-73.882016
175,Oakland Gardens,Queens,40.743646,-73.755258
176,Oakwood,Staten Island,40.564555,-74.121358
177,Ocean Hill,Brooklyn,40.677068,-73.912029
178,Ocean Parkway South,Brooklyn,40.617847,-73.971504
179,Old Astoria,Queens,40.772395,-73.930123
180,Ozone Park,Queens,40.676308,-73.848528
181,Park Slope,Brooklyn,40.670746,-73.980671
182,Parkchester,Bronx,40.837095,-73.858634
183,Pelham Bay,Bronx,40.849369,-73.831104
184,Pelham Bay Park,Bronx,40.862239,-73.79655
185,Pelham Parkway,Bronx,40.85437,-73.852955
186,Penn Station/Madison Sq West,Manhattan,40.748585,-73.991999
187,Port Richmond,Staten Island,40.632707,-74.13613
188,Prospect-Lefferts Gardens,Brooklyn,40.658743,-73.948091
189,Prospect Heights,Brooklyn,40.676709,-73.968131
190,Prospect Park,Brooklyn,40.661061,-73.97257
191,Queens Village,Queens,40.71693,-73.742429
192,Queensboro Hill,Queens,40.744062,-73.814652
193,Queensbridge/Ravenswood,Queens,40.762743,-73.939093
194,Randalls Island,Manhattan,40.791829,-73.925739
195,Red Hook,Brooklyn,40.674447,-74.013032
196,Rego Park,Queens,40.726171,-73.863958
197,Richmond Hill,Queens,40.695486,-73.829096
198,Ridgewood,Queens,40.70736,-73.904168
199,Rikers Island,Bronx,40.793489,-73.880683
200,Riverdale/North Riverdale/Fieldston,Bronx,40.898949,-73.908185
201,Rockaway Park,Queens,40.578754,-73.838247
202,Roosevelt Island,Manhattan,40.761763,-73.950211
203,Rosedale,Queens,40.644091,-73.744925
204,Rossville/Woodrow,Staten Island,40.539924,-74.208846
205,Saint Albans,Queens,40.692876,-73.764272
206,Saint George/New Brighton,Staten Island,40.640559,-74.099941
207,Saint Michaels Cemetery/Woodside,Queens,40.763765,-73.897653
208,Schuylerville/Edgewater Park,Bronx,40.82016,-73.814851
209,Seaport,Manhattan,40.708273,-74.002267
210,Sheepshead Bay,Brooklyn,40.590004,-73.930137
211,SoHo,Manhattan,40.723511,-74.002191
212,Soundview/Bruckner,Bronx,40.827967,-73.868166
213,Soundview/Castle Hill,Bronx,40.815351,-73.850366
214,South Beach/Dongan Hills,Staten Island,40.583925,-74.079294
215,South Jamaica,Queens,40.694743,-73.792073
216,South Ozone Park,Queens,40.676477,-73.817131
217,South Williamsburg,Brooklyn,40.704057,-73.958038
218,Springfield Gardens North,Queens,40.672931,-73.772761
219,Springfield Gardens South,Queens,40.661963,-73.770403
220,Spuyten Duyvil/Kingsbridge,Bronx,40.882296,-73.91205
221,Stapleton,Staten Island,40.620458,-74.072192
222,Starrett City,Brooklyn,40.644776,-73.884129
223,Steinway,Queens,40.782079,-73.8957
224,Stuy Town/Peter Cooper Village,Manhattan,40.731622,-73.974325
225,Stuyvesant Heights,Brooklyn,40.688738,-73.930469
226,Sunnyside,Queens,40.727,-73.925836
227,Sunset Park East,Brooklyn,40.639752,-74.006864
228,Sunset Park West,Brooklyn,40.655479,-74.011949
229,Sutton Place/Turtle Bay North,Manhattan,40.755784,-73.964284
230,Times Sq/Theatre District,Manhattan,40.759607,-73.984313
231,TriBeCa/Civic Center,Manhattan,40.718848,-74.00988
232,Two Bridges/Seward Park,Manhattan,40.713594,-73.982954
233,UN/Turtle Bay South,Manhattan,40.746299,-73.969564
234,Union Sq,Manhattan,40.73931,-73.990131
235,University Heights/Morris Heights,Bronx,40.854132,-73.917159
236,Upper East Side North,Manhattan,40.780263,-73.957138
237,Upper East Side South,Manhattan,40.768456,-73.965666
238,Upper West Side North,Manhattan,40.792388,-73.974066
239,Upper West Side South,Manhattan,40.784791,-73.98317
240,Van Cortlandt Park,Bronx,40.890801,-73.879084
241,Van Cortlandt Village,Bronx,40.875343,-73.895972
242,Van Nest/Morris Park,Bronx,40.848515,-73.849231
243,Washington Heights North,Manhattan,40.857373,-73.93752
244,Washington Heights South,Manhattan,40.84285,-73.943256
245,West Brighton,Staten Island,40.632347,-74.103797
246,West Chelsea/Hudson Yards,Manhattan,40.750105,-74.008111
247,West Concourse,Bronx,40.830234,-73.924077
248,West Farms/Bronx River,Bronx,40.834862,-73.873662
249,West Village,Manhattan,40.733811,-74.003081
250,Westchester Village/Unionport,Bronx,40.834345,-73.844962
251,Westerleigh,Staten Island,40.616504,-74.126074
252,Whitestone,Queens,40.795098,-73.814988
253,Willets Point,Queens,40.762045,-73.842202
254,Williamsbridge/Olinville,Bronx,40.882393,-73.859056
255,Williamsburg (North Side),Brooklyn,40.719652,-73.961672
256,Williamsburg (South Side),Brooklyn,40.710736,-73.96294
257,Windsor Terrace,Brooklyn,40.656034,-73.978426
258,Woodhaven,Queens,40.687641,-73.854732
259,Woodlawn/Wakefield,Bronx,40.900108,-73.853635
260,Woodside,Queens,40.746439,-73.905908
261,World Trade Center,Manhattan,40.707456,-74.013983
262,Yorkville East,Manhattan,40.778363,-73.943489
263,Yorkville West,Manhattan,40.77902,-73.950199
